ID,Col,Row,Date,Hour,O3,PM25_Primary,PM25_Secondary
Sample_Site_1,123,51,2010001,0,29.5110778808594,3.76756572723389,3.76756572723389
Sample_Site_1,123,51,2010001,10000,24.9244899749756,4.85282373428345,4.85282373428345
Sample_Site_1,123,51,2010001,20000,20.5090923309326,5.805260181427,5.805260181427
Sample_Site_1,123,51,2010001,30000,19.6170520782471,5.4682149887085,5.4682149887085
Sample_Site_1,123,51,2010001,40000,20.6260223388672,5.22235536575317,5.22235536575317
Sample_Site_1,123,51,2010001,50000,22.6304740905762,5.16613483428955,5.16613483428955
Sample_Site_1,123,51,2010001,60000,23.5715866088867,5.58544301986694,5.58544301986694
Sample_Site_1,123,51,2010001,70000,22.8894557952881,5.69491529464722,5.69491529464722
Sample_Site_1,123,51,2010001,80000,20.6887073516846,6.1356348991394,6.1356348991394
Sample_Site_1,123,51,2010001,90000,19.9020900726318,5.95580005645752,5.95580005645752
Sample_Site_1,123,51,2010001,100000,19.9263553619385,5.31087207794189,5.31087207794189
Sample_Site_1,123,51,2010001,110000,19.8394107818604,3.7037947177887,3.7037947177887
Sample_Site_1,123,51,2010001,120000,18.7532558441162,2.61936378479004,2.61936378479004
Sample_Site_1,123,51,2010001,130000,18.0666618347168,2.46964693069458,2.46964693069458
Sample_Site_1,123,51,2010001,140000,18.1803569793701,2.87536287307739,2.87536287307739
Sample_Site_1,123,51,2010001,150000,18.7348175048828,3.14856672286987,3.14856672286987
Sample_Site_1,123,51,2010001,160000,20.5023498535156,3.50952744483948,3.50952744483948
Sample_Site_1,123,51,2010001,170000,23.2125720977783,3.83112335205078,3.83112335205078
Sample_Site_1,123,51,2010001,180000,26.0093688964844,4.15705013275146,4.15705013275146
Sample_Site_1,123,51,2010001,190000,28.5295104980469,4.43233060836792,4.43233060836792
Sample_Site_1,123,51,2010001,200000,29.1930046081543,4.84322023391724,4.84322023391724
Sample_Site_1,123,51,2010001,210000,26.3992729187012,6.32762765884399,6.32762765884399
Sample_Site_1,123,51,2010001,220000,21.6705799102783,9.91618633270264,9.91618633270264
Sample_Site_1,123,51,2010001,230000,19.4749851226807,14.114914894104,14.114914894104
Sample_Site_1,123,51,2010002,0,21.0127563476562,15.5442113876343,15.5442113876343
Sample_Site_1,123,51,2010002,10000,23.2771644592285,15.7590465545654,15.7590465545654
Sample_Site_1,123,51,2010002,20000,23.3146743774414,15.6575174331665,15.6575174331665
Sample_Site_1,123,51,2010002,30000,23.2712306976318,14.5786066055298,14.5786066055298
Sample_Site_1,123,51,2010002,40000,23.6347045898438,13.8775930404663,13.8775930404663
Sample_Site_1,123,51,2010002,50000,23.8290596008301,14.2070350646973,14.2070350646973
Sample_Site_1,123,51,2010002,60000,24.2655906677246,14.0515232086182,14.0515232086182
Sample_Site_1,123,51,2010002,70000,25.089038848877,12.9735336303711,12.9735336303711
Sample_Site_1,123,51,2010002,80000,25.6451320648193,11.5370683670044,11.5370683670044
Sample_Site_1,123,51,2010002,90000,26.6653289794922,9.78092384338379,9.78092384338379
Sample_Site_1,123,51,2010002,100000,28.0109825134277,8.39822292327881,8.39822292327881
Sample_Site_1,123,51,2010002,110000,29.3916416168213,7.36516618728638,7.36516618728638
Sample_Site_1,123,51,2010002,120000,30.287015914917,6.70338201522827,6.70338201522827
Sample_Site_1,123,51,2010002,130000,31.1585273742676,5.96092653274536,5.96092653274536
Sample_Site_1,123,51,2010002,140000,32.2734909057617,4.96850204467773,4.96850204467773
Sample_Site_1,123,51,2010002,150000,33.5883178710938,4.00367259979248,4.00367259979248
Sample_Site_1,123,51,2010002,160000,35.2319946289062,3.30171585083008,3.30171585083008
Sample_Site_1,123,51,2010002,170000,37.374755859375,2.76681280136108,2.76681280136108
Sample_Site_1,123,51,2010002,180000,38.6704406738281,2.57056522369385,2.57056522369385
Sample_Site_1,123,51,2010002,190000,38.0323219299316,2.77779078483582,2.77779078483582
Sample_Site_1,123,51,2010002,200000,37.3893508911133,3.05806851387024,3.05806851387024
Sample_Site_1,123,51,2010002,210000,36.8635635375977,3.29524636268616,3.29524636268616
Sample_Site_1,123,51,2010002,220000,35.9326171875,3.63285231590271,3.63285231590271
Sample_Site_1,123,51,2010002,230000,35.3976707458496,3.70336937904358,3.70336937904358
Sample_Site_1,123,51,2010003,0,35.2694053649902,3.48234581947327,3.48234581947327
Sample_Site_1,123,51,2010003,10000,35.2250175476074,3.18684411048889,3.18684411048889
Sample_Site_1,123,51,2010003,20000,35.136848449707,3.00485610961914,3.00485610961914
Sample_Site_1,123,51,2010003,30000,35.0856170654297,2.9644672870636,2.9644672870636
Sample_Site_1,123,51,2010003,40000,35.2520217895508,3.02020788192749,3.02020788192749
Sample_Site_1,123,51,2010003,50000,35.8294486999512,3.13178849220276,3.13178849220276
Sample_Site_1,123,51,2010003,60000,35.8250732421875,3.38336610794067,3.38336610794067
Sample_Site_1,123,51,2010003,70000,35.7086753845215,3.61400365829468,3.61400365829468
Sample_Site_1,123,51,2010003,80000,35.9473495483398,3.77189040184021,3.77189040184021
Sample_Site_1,123,51,2010003,90000,36.5651626586914,3.82987499237061,3.82987499237061
Sample_Site_1,123,51,2010003,100000,37.732723236084,3.74188709259033,3.74188709259033
Sample_Site_1,123,51,2010003,110000,38.7798461914062,3.66538739204407,3.66538739204407
Sample_Site_1,123,51,2010003,120000,38.8997688293457,3.73064303398132,3.73064303398132
Sample_Site_1,123,51,2010003,130000,38.4709358215332,3.89908146858215,3.89908146858215
Sample_Site_1,123,51,2010003,140000,38.5378265380859,3.85530877113342,3.85530877113342
Sample_Site_1,123,51,2010003,150000,38.5203094482422,3.92173790931702,3.92173790931702
Sample_Site_1,123,51,2010003,160000,39.0881690979004,3.8506178855896,3.8506178855896
Sample_Site_1,123,51,2010003,170000,40.2824783325195,3.63297653198242,3.63297653198242
Sample_Site_1,123,51,2010003,180000,41.3526229858398,3.48674607276917,3.48674607276917
Sample_Site_1,123,51,2010003,190000,41.4984512329102,3.68168640136719,3.68168640136719
Sample_Site_1,123,51,2010003,200000,40.4534797668457,4.22996664047241,4.22996664047241
Sample_Site_1,123,51,2010003,210000,38.7036895751953,5.32147264480591,5.32147264480591
Sample_Site_1,123,51,2010003,220000,36.7154884338379,6.60839366912842,6.60839366912842
